Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
w/o LT,phantom68,0.8545,0.5916,0.6992,0.5941,0.4325,50.94,59.16
w/o LT,phantom70,0.4611,0.1275,0.1998,0.1386,0.1223,24.87,12.75
w/o LT,phantom71,0.8811,0.5725,0.6941,0.5738,0.4282,62.12,57.25
w/o LT,phantom73,0.7445,0.26,0.3854,0.2673,0.1902,28.56,25.63
w/o LT,phantom74,0.6298,0.2849,0.3923,0.297,0.2352,35.59,28.49
w/o LT,phantom75,0.8329,0.366,0.5085,0.3662,0.2677,37.93,36.6
w/o LT,phantom76,0.8537,0.7098,0.7751,0.7123,0.5402,107.74,70.64
w/o LT,phantom77,0.8344,0.7091,0.7667,0.7129,0.5429,91.17,70.91
w/o LT,phantom78,0.8017,0.6781,0.7347,0.6832,0.5106,74.36,64.44
w/o LT,phantom79,0.8772,0.6041,0.7155,0.604,0.4531,62.25,60.41
w/o LT,phantom80,0.9727,0.964,0.9683,0.9602,0.747,245.97,96.4
w/o LT,phantom81,0.9965,0.9965,0.9965,0.9899,0.7697,282.82,99.65
w/o LT,phantom84,0.5891,0.3619,0.4483,0.3762,0.324,46.38,36.19
w/o LT,phantom85,0.9744,0.9796,0.977,0.9697,0.7404,158.4,92.08
w/o LT,phantom86,0.2706,0.0951,0.1407,0.099,0.1274,23.94,9.51
Only YOLO,phantom02,0.9808,0.9633,0.972,0.9599,0.7267,292.74,96.33
Only YOLO,phantom04,0.9464,0.1648,0.2807,0.168,0.1197,967.29,16.48
Only YOLO,phantom05,0.0,0.0,0.0,0.0,0.0,11034.83,0.0
Only YOLO,phantom06,0.996,0.9678,0.9817,0.9601,0.7699,291.59,96.78
Only YOLO,phantom08,0.0,0.0,0.0,0.0,0.0,15449.91,0.0
Only YOLO,phantom09,0.0,0.0,0.0,0.0,0.0,19370.2,0.0
Only YOLO,phantom10,0.0,0.0,0.0,0.0,0.0,20230.06,0.0
Only YOLO,phantom12,0.9954,1.0,0.9977,0.9896,0.8194,291.83,97.11
Only YOLO,phantom13,0.9916,0.3715,0.5405,0.3758,0.3032,784.47,34.84
Only YOLO,phantom14,1.0,1.0,1.0,0.9895,0.7951,289.71,100.0
Only YOLO,phantom16,0.999,0.617,0.7628,0.6137,0.4989,494.89,57.75
Only YOLO,phantom19,0.0,0.0,0.0,0.0,0.0,22106.58,0.0
Only YOLO,phantom20,0.8391,0.3509,0.4949,0.3563,0.2576,661.04,35.09
Only YOLO,phantom22,0.7229,0.3694,0.489,0.3762,0.3016,465.88,36.94
Only YOLO,phantom23,0.9995,0.8921,0.9427,0.8909,0.7367,328.23,87.46
Only YOLO,phantom28,1.0,0.583,0.7366,0.5834,0.4736,471.37,58.3
